model_key,hf_id,family,params_b,tuning,tier,item_id,word,target,distractor,conflict_type,relation,prompt_style,condition,neutral_word,probe,mean_logprob_distractor,mean_logprob_target,n_cont_tokens_distractor,n_cont_tokens_target,sum_logprob_distractor,sum_logprob_target,score_sum_logprob,score_mean_logprob
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,answer_prior,probe,,answer_prior,-13.480964660644531,-11.512214660644531,1,1,-13.480964660644531,-11.512214660644531,1.96875,1.96875
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,conflict,,main,-8.56817626953125,-6.943176746368408,1,1,-8.56817626953125,-6.943176746368408,1.6249995231628418,1.6249995231628418
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,item,main,-10.844063758850098,-7.5315632820129395,1,1,-10.844063758850098,-7.5315632820129395,3.312500476837158,3.312500476837158
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,label,main,-10.484480857849121,-7.234480857849121,1,1,-10.484480857849121,-7.234480857849121,3.25,3.25
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,marker,main,-10.808065414428711,-7.183065414428711,1,1,-10.808065414428711,-7.183065414428711,3.625,3.625
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,object,main,-11.15328598022461,-7.340785980224609,1,1,-11.15328598022461,-7.340785980224609,3.8125,3.8125
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,symbol,main,-10.678799629211426,-7.116299629211426,1,1,-10.678799629211426,-7.116299629211426,3.5625,3.5625
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,thing,main,-10.995626449584961,-7.495626449584961,1,1,-10.995626449584961,-7.495626449584961,3.5,3.5
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,conflict,,main,-6.2254319190979,-2.7254319190979004,1,1,-6.2254319190979,-2.7254319190979004,3.5,3.5
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,item,main,-9.828226089477539,-4.203226089477539,1,1,-9.828226089477539,-4.203226089477539,5.625,5.625
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,label,main,-9.263280868530273,-3.8882806301116943,1,1,-9.263280868530273,-3.8882806301116943,5.375000238418579,5.375000238418579
olmo_1b_base,allenai/OLMo-1B-hf,OLMo,1.0,base,anchor_1b2b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,marker,main,-9.828951835632324,-4.766451835632324,1,1,-9.828951835632324,-4.766451835632324,5.0625,5.0625
