model_key,family,params_b,tuning,tier,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,sum_logprob,704.0,2.3148569348853596,2.1725324191294266,2.4677969048667325,0.9176136363636364,30.512638012638764,6.993978458841188e-131
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,mean_logprob,704.0,2.2670837328030093,2.125187479708946,2.4156476210361744,0.9147727272727273,30.237403859982017,2.609372797488925e-129
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,sum_logprob,704.0,2.57703535109884,2.3067130105994487,2.855849458999697,0.7982954545454546,18.225986685484443,4.462495119998395e-61
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,mean_logprob,704.0,2.478685336081705,2.205675317977835,2.7531075962889613,0.7940340909090909,17.879505038892983,3.245188896508265e-59
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,sum_logprob,704.0,1.6675802292090587,1.3962587315699873,1.9272869588233528,0.7088068181818182,12.146071600605554,5.960003786203455e-31
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,mean_logprob,704.0,1.622125991052158,1.3484146809152717,1.8837491829798445,0.703125,11.807665583974893,1.7666491649782197e-29
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,sum_logprob,704.0,2.5558323426348717,2.1989418507376493,2.9227171742674907,0.7528409090909091,14.07606719208415,7.96363515826568e-40
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,mean_logprob,704.0,2.5502641066517353,2.190899466891787,2.9126110186670133,0.75,14.053288951554695,1.0238453124512304e-39
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,sum_logprob,704.0,2.3574879570256444,2.234593306508655,2.4834355016045473,0.9502840909090909,37.492993277711705,7.548812039473915e-170
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,mean_logprob,704.0,2.2183439718982774,2.097901163740664,2.33807217750713,0.9431818181818182,36.2014128198233,8.586658491447664e-163
qwen25_7b_base,Qwen,7.0,base,large_7b,sum_logprob,704.0,2.7047244227268923,2.55752679571052,2.8607489717737944,0.9275568181818182,34.628365237330044,4.270810968738117e-154
qwen25_7b_base,Qwen,7.0,base,large_7b,mean_logprob,704.0,2.6473102624399623,2.49910468420734,2.8007888750334278,0.9247159090909091,34.371602260666364,1.1487166798919128e-152
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,sum_logprob,704.0,1.7223833702991376,1.436458102374558,2.01380728385319,0.7244318181818182,11.368847372554765,1.3028312360790077e-27
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,mean_logprob,704.0,1.696507554526544,1.4136942217854498,1.976649362869152,0.7215909090909091,11.417637875988245,8.120035823906819e-28
gemma2_9b_base,Gemma,9.0,base,large_7b9b,sum_logprob,704.0,2.3326546878546868,2.1141012984484955,2.5533990005973135,0.8139204545454546,21.558186330371562,1.614561187852644e-79
gemma2_9b_base,Gemma,9.0,base,large_7b9b,mean_logprob,704.0,2.3325791157990214,2.1158347188834203,2.5496442151178735,0.8096590909090909,21.80915482154331,6.149877026807503e-81
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,sum_logprob,704.0,1.3083482212583573,0.9986791312281941,1.6398122829672028,0.609375,8.07144185113518,3.0098630264700776e-15
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,mean_logprob,704.0,1.3145392749655602,1.0075189837710532,1.6460829401595918,0.6107954545454546,8.113989974441077,2.186383447567204e-15
mistral7b_base,Mistral,7.0,base,large_7b,sum_logprob,704.0,2.6749177939595525,2.5141465020887224,2.842315971040995,0.9076704545454546,31.9896286542475,2.796748137799939e-139
mistral7b_base,Mistral,7.0,base,large_7b,mean_logprob,704.0,2.3011157895430965,2.1516954890560744,2.456652805179608,0.8892045454545454,29.339905547323024,3.5859986920003613e-124
mistral7b_instruct,Mistral,7.0,instruct,large_7b,sum_logprob,704.0,2.2614250659604878,1.8992731865366603,2.6333320545765684,0.65625,12.134100165831303,6.726261025820669e-31
mistral7b_instruct,Mistral,7.0,instruct,large_7b,mean_logprob,704.0,1.6975696689502007,1.3628617232118625,2.040134680008452,0.640625,9.891953603294471,1.0886739944020745e-21
