model_key,family,params_b,tuning,tier,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,definition_scope,sum_logprob,176.0,2.0493491704719697,1.8300023795862355,2.2810950357742374,0.9375,17.818607670412508,3.579796235044515e-41
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,definition_scope,mean_logprob,176.0,2.0063000025543762,1.7897771371868518,2.232197399311022,0.9375,17.697418777209183,7.734976256055873e-41
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,game_rule,sum_logprob,176.0,2.9705360003342567,2.6325821285584325,3.3379092551747247,0.8977272727272727,16.60027229268522,8.845713374834256e-38
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,game_rule,mean_logprob,176.0,2.927990411896745,2.588454323616442,3.296578386517193,0.8977272727272727,16.3904705604837,3.444632425795593e-37
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,glossary,sum_logprob,176.0,2.0289755611240365,1.7816530444773724,2.2762920520548837,0.9318181818181818,16.161580123128623,1.5245895914840412e-36
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,glossary,mean_logprob,176.0,1.9791493782377627,1.7461084671783753,2.211745757981069,0.9318181818181818,16.539425724998416,1.311563560817313e-37
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,technical_document,sum_logprob,176.0,2.2105670076111754,1.9096087692669592,2.5387345175060476,0.9034090909090909,13.190627160357039,4.9878618037750025e-28
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,technical_document,mean_logprob,176.0,2.1548951385231536,1.8537163133718957,2.479468598393133,0.8920454545454546,12.92081013051305,3.0015965230258424e-27
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,definition_scope,sum_logprob,176.0,1.668918900234,1.3618196602771473,1.9911942015629578,0.7727272727272727,10.420955685017555,4.3541401731376805e-20
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,definition_scope,mean_logprob,176.0,1.606604781434209,1.3223331676895393,1.9050057109191227,0.7727272727272727,10.803309914088882,3.6100095964699985e-21
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,game_rule,sum_logprob,176.0,3.2391745937562333,2.387914906726617,4.153041576716107,0.7045454545454546,7.107868595158628,2.8732019023940797e-11
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,game_rule,mean_logprob,176.0,3.063746680184345,2.202765623776062,3.9578968314959324,0.6875,6.705515209830109,2.6640329833888427e-10
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,glossary,sum_logprob,176.0,2.652013776386698,2.227806984602536,3.0973880715300486,0.8409090909090909,12.151846990953777,4.970902592962466e-25
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,glossary,mean_logprob,176.0,2.560457278022714,2.1615442679298655,2.9891712365646583,0.8409090909090909,12.322021093073344,1.6065811433303468e-25
