model_key,family,params_b,tuning,tier,conflict_type,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,definition_scope,sum_logprob,80.0,1.310977051556741,1.0458283428739499,1.593558229490512,0.9125,9.478052929192083,1.1371596449666941e-14
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,definition_scope,mean_logprob,80.0,1.216268882138037,0.9742602456082042,1.465685632872941,0.9125,9.779236458435937,2.954075302450506e-15
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,game_rule,sum_logprob,80.0,1.359007306534598,0.9745280948946734,1.7472094946782424,0.775,6.939438816424368,9.754074358246307e-10
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,game_rule,mean_logprob,80.0,1.2654070119720724,0.9035609982812475,1.6204586987545284,0.775,6.868543847284776,1.3316125663077408e-09
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,glossary,sum_logprob,80.0,1.8643972662054389,1.5087400930196841,2.2353152263518132,0.9,9.914518537742133,1.6148122497206404e-15
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,glossary,mean_logprob,80.0,1.7547796638556368,1.4499696080765314,2.0764616168443735,0.9,10.5254591731191,1.0710185733249507e-16
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,technical_document,sum_logprob,80.0,1.3236639880438208,1.0308663921793808,1.6347138373644188,0.85,8.610125140870103,5.618880195735164e-13
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,technical_document,mean_logprob,80.0,1.2011858760501732,0.9344267631200971,1.480675585377975,0.825,8.610278791677795,5.614997438978714e-13
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,definition_scope,sum_logprob,36.0,3.261429454441424,2.8438621625028278,3.653656796724708,1.0,15.388332526115834,3.7741821581177844e-17
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,definition_scope,mean_logprob,36.0,3.261429454441424,2.8438621625028278,3.653656796724708,1.0,15.388332526115834,3.7741821581177844e-17
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,game_rule,sum_logprob,36.0,4.965639484735827,4.430986025968257,5.480457951344067,1.0,17.976388084447212,2.9710836958824288e-19
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,game_rule,mean_logprob,36.0,4.965639484735827,4.430986025968257,5.480457951344067,1.0,17.976388084447212,2.9710836958824288e-19
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,glossary,sum_logprob,36.0,3.0745080996442726,2.5190501978000004,3.6060727501357044,0.9722222222222222,10.973255477699729,7.064076413955703e-13
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,glossary,mean_logprob,36.0,3.0745080996442726,2.5190501978000004,3.6060727501357044,0.9722222222222222,10.973255477699729,7.064076413955703e-13
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,technical_document,sum_logprob,36.0,4.804542863810504,4.083282753825188,5.575379830764399,1.0,12.282794022585698,3.016989742797576e-14
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,technical_document,mean_logprob,36.0,4.804542863810504,4.083282753825188,5.575379830764399,1.0,12.282794022585698,3.016989742797576e-14
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,definition_scope,sum_logprob,30.0,2.3894095977147414,1.812039925456047,2.9091751868195,0.9,8.130500764489607,5.7656235216445274e-09
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,definition_scope,mean_logprob,30.0,2.3894095977147414,1.812039925456047,2.9091751868195,0.9,8.130500764489607,5.7656235216445274e-09
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,game_rule,sum_logprob,30.0,4.184635392990377,3.418450530424921,4.930768190484701,1.0,10.845921945994746,1.0134999887241245e-11
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,game_rule,mean_logprob,30.0,4.184635392990377,3.418450530424921,4.930768190484701,1.0,10.845921945994746,1.0134999887241245e-11
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,glossary,sum_logprob,30.0,1.7579860157436797,1.2128428047895432,2.2896396853526433,0.9333333333333333,6.3074941439348144,6.876071956847869e-07
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,glossary,mean_logprob,30.0,1.7579860157436797,1.2128428047895432,2.2896396853526433,0.9333333333333333,6.3074941439348144,6.876071956847869e-07
