model_key,family,params_b,tuning,tier,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,sum_logprob,704.0,2.31485693488536,2.172532419129426,2.4677969048667325,0.9176136363636364,30.512638012638764,6.993978458841188e-131
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,sum_logprob,704.0,2.57703535109884,2.3067130105994487,2.855849458999697,0.7982954545454546,18.225986685484443,4.462495119998395e-61
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,sum_logprob,704.0,1.667580229209059,1.3962587315699873,1.9272869588233528,0.7088068181818182,12.146071600605554,5.960003786203455e-31
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,sum_logprob,704.0,2.555832342634872,2.1989418507376493,2.9227171742674907,0.7528409090909091,14.07606719208415,7.963635158265679e-40
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,sum_logprob,704.0,2.3574879570256444,2.234593306508655,2.4834355016045477,0.9502840909090908,37.492993277711705,7.548812039473915e-170
qwen25_7b_base,Qwen,7.0,base,large_7b,sum_logprob,704.0,2.7047244227268923,2.55752679571052,2.8607489717737944,0.9275568181818182,34.628365237330044,4.270810968738117e-154
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,sum_logprob,704.0,1.7223833702991376,1.436458102374558,2.01380728385319,0.7244318181818182,11.368847372554765,1.3028312360790075e-27
gemma2_9b_base,Gemma,9.0,base,large_7b9b,sum_logprob,704.0,2.3326546878546868,2.1141012984484955,2.553399000597313,0.8139204545454546,21.55818633037156,1.614561187852644e-79
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,sum_logprob,704.0,1.3083482212583573,0.998679131228194,1.6398122829672028,0.609375,8.07144185113518,3.0098630264700776e-15
mistral7b_base,Mistral,7.0,base,large_7b,sum_logprob,704.0,2.6749177939595525,2.5141465020887224,2.842315971040995,0.9076704545454546,31.9896286542475,2.7967481377999387e-139
mistral7b_instruct,Mistral,7.0,instruct,large_7b,sum_logprob,704.0,2.261425065960488,1.8992731865366603,2.6333320545765684,0.65625,12.134100165831304,6.726261025820669e-31
