model_key,zeroed_component,component_type,layer,head,source_recovery,source_plus_zero_recovery,drop
qwen25_15b_base,L27MLP,mlp,27,-1,0.9949131364139101,2.6196452472064022,-1.6247321107924921
qwen25_15b_base,L20MLP,mlp,20,-1,0.9949131364139101,1.1751499400192171,-0.18023680360530703
qwen25_15b_base,L26H7,attn_head,26,7,0.9949131364139101,0.43602773492569913,0.558885401488211
qwen25_15b_base,L20H5,attn_head,20,5,0.9949131364139101,0.3726121991610979,0.6223009372528122
qwen25_15b_base,L25H0,attn_head,25,0,0.9949131364139101,0.9863422336917878,0.008570902722122353
qwen25_15b_base,L20H8,attn_head,20,8,0.9949131364139101,0.9690831305237839,0.025830005890126184
qwen25_15b_base,L21H0,attn_head,21,0,0.9949131364139101,1.0142138646182348,-0.019300728204324713
qwen25_15b_base,L27H5,attn_head,27,5,0.9949131364139101,0.8964370586178576,0.0984760777960525
qwen25_15b_base,L17H3,attn_head,17,3,0.9949131364139101,1.0319323355511665,-0.037019199137256376
qwen25_15b_base,L16H2,attn_head,16,2,0.9949131364139101,0.8769842253832615,0.11792891103064862
qwen25_15b_base,L20H9,attn_head,20,9,0.9949131364139101,1.058233834632448,-0.06332069821853792
qwen25_15b_base,L21H3,attn_head,21,3,0.9949131364139101,0.9066410567204928,0.08827207969341733
qwen25_15b_base,L20H11,attn_head,20,11,0.9949131364139101,1.0249528310687324,-0.030039694654822258
qwen25_15b_base,L22H7,attn_head,22,7,0.9949131364139101,0.8250650432761749,0.1698480931377352
qwen25_15b_base,L24H5,attn_head,24,5,0.9949131364139101,1.0251946403774237,-0.03028150396351359
qwen25_15b_base,L18H1,attn_head,18,1,0.9949131364139101,1.0578081827151316,-0.06289504630122145
qwen25_15b_base,L23MLP,mlp,23,-1,0.9949131364139101,1.055016486657239,-0.0601033502433288
qwen25_15b_base,L24MLP,mlp,24,-1,0.9949131364139101,0.7656698963731401,0.22924324004077
qwen25_15b_base,L24H4,attn_head,24,4,0.9949131364139101,0.932564160644059,0.0623489757698511
qwen25_15b_base,L18H7,attn_head,18,7,0.9949131364139101,0.9851566364606553,0.009756499953254782
qwen25_15b_instruct,L20H5,attn_head,20,5,0.9177232024697646,0.6267269902917375,0.29099621217802707
qwen25_15b_instruct,L27MLP,mlp,27,-1,0.9177232024697646,0.5556731086673302,0.36205009380243436
qwen25_15b_instruct,L17H3,attn_head,17,3,0.9177232024697646,1.011540829624122,-0.09381762715435737
qwen25_15b_instruct,L20MLP,mlp,20,-1,0.9177232024697646,1.350542638717482,-0.43281943624771735
qwen25_15b_instruct,L18H7,attn_head,18,7,0.9177232024697646,0.8355038091133645,0.08221939335640005
qwen25_15b_instruct,L24MLP,mlp,24,-1,0.9177232024697646,0.7571992130661451,0.16052398940361945
qwen25_15b_instruct,L20H8,attn_head,20,8,0.9177232024697646,1.0591325988542457,-0.14140939638448113
qwen25_15b_instruct,L25MLP,mlp,25,-1,0.9177232024697646,1.1539164996982525,-0.23619329722848792
qwen25_15b_instruct,L23MLP,mlp,23,-1,0.9177232024697646,1.0159606374445596,-0.09823743497479498
qwen25_15b_instruct,L15MLP,mlp,15,-1,0.9177232024697646,1.308071967703621,-0.3903487652338564
qwen25_15b_instruct,L21MLP,mlp,21,-1,0.9177232024697646,1.042842210197521,-0.12511900772775641
qwen25_15b_instruct,L24H8,attn_head,24,8,0.9177232024697646,0.8752898867600637,0.04243331570970088
qwen25_15b_instruct,L18H1,attn_head,18,1,0.9177232024697646,0.9995278886501222,-0.08180468618035763
qwen25_15b_instruct,L16H1,attn_head,16,1,0.9177232024697646,0.9255702208998429,-0.00784701843007829
qwen25_15b_instruct,L21H3,attn_head,21,3,0.9177232024697646,0.9031637892714142,0.014559413198350413
qwen25_15b_instruct,L24H4,attn_head,24,4,0.9177232024697646,0.8772330123432137,0.04049019012655086
qwen25_15b_instruct,L22MLP,mlp,22,-1,0.9177232024697646,0.7205839346268511,0.19713926784291347
qwen25_15b_instruct,L25H2,attn_head,25,2,0.9177232024697646,0.8722584000743769,0.04546480239538764
qwen25_15b_instruct,L16H6,attn_head,16,6,0.9177232024697646,0.7851498643576128,0.13257333811215177
qwen25_15b_instruct,L20H9,attn_head,20,9,0.9177232024697646,1.06405843166059,-0.14633522919082553
gemma2_2b_base,L22H1,attn_head,22,1,1.0452273521196438,0.9695193217856716,0.07570803033397222
gemma2_2b_base,L14H2,attn_head,14,2,1.0452273521196438,1.0929372230105312,-0.04770987089088741
gemma2_2b_base,L23H7,attn_head,23,7,1.0452273521196438,0.9387866795255931,0.10644067259405066
gemma2_2b_base,L15H7,attn_head,15,7,1.0452273521196438,1.413590290958224,-0.3683629388385803
gemma2_2b_base,L22H7,attn_head,22,7,1.0452273521196438,0.8007486726976201,0.24447867942202373
gemma2_2b_base,L25H6,attn_head,25,6,1.0452273521196438,1.0510346149319383,-0.005807262812294489
gemma2_2b_base,L25H4,attn_head,25,4,1.0452273521196438,1.0381909877141866,0.007036364405457185
gemma2_2b_base,L24H3,attn_head,24,3,1.0452273521196438,0.9367746889327951,0.10845266318684865
gemma2_2b_base,L24H5,attn_head,24,5,1.0452273521196438,0.9904948193517319,0.0547325327679119
gemma2_2b_base,L22MLP,mlp,22,-1,1.0452273521196438,1.0552361927316651,-0.010008840612021341
gemma2_2b_base,L16H4,attn_head,16,4,1.0452273521196438,1.1533254783909246,-0.10809812627128079
gemma2_2b_base,L25H2,attn_head,25,2,1.0452273521196438,1.0159981581624749,0.029229193957168942
gemma2_2b_base,L20H7,attn_head,20,7,1.0452273521196438,0.9785868499187753,0.06664050220086848
gemma2_2b_base,L24H1,attn_head,24,1,1.0452273521196438,0.9836786998797707,0.06154865223987305
gemma2_2b_base,L15H5,attn_head,15,5,1.0452273521196438,1.135297401093777,-0.09007004897413329
gemma2_2b_base,L12H0,attn_head,12,0,1.0452273521196438,0.8964042748527108,0.148823077266933
gemma2_2b_base,L20H3,attn_head,20,3,1.0452273521196438,1.0880840987880265,-0.042856746668382684
gemma2_2b_base,L23H6,attn_head,23,6,1.0452273521196438,1.0111270133542425,0.034100338765401306
gemma2_2b_base,L12H2,attn_head,12,2,1.0452273521196438,0.7865104690478731,0.25871688307177065
gemma2_2b_base,L17H5,attn_head,17,5,1.0452273521196438,1.1313702300323967,-0.08614287791275288
gemma2_2b_instruct,L22H1,attn_head,22,1,1.044810541782913,0.5785371664070095,0.4662733753759035
gemma2_2b_instruct,L24MLP,mlp,24,-1,1.044810541782913,1.2345069978376708,-0.18969645605475782
gemma2_2b_instruct,L25MLP,mlp,25,-1,1.044810541782913,2.0718980431178524,-1.0270875013349394
gemma2_2b_instruct,L14MLP,mlp,14,-1,1.044810541782913,1.5900625329263605,-0.5452519911434475
gemma2_2b_instruct,L16H4,attn_head,16,4,1.044810541782913,0.7177787214863474,0.32703182029656563
gemma2_2b_instruct,L18H3,attn_head,18,3,1.044810541782913,1.3262189857037217,-0.28140844392080866
gemma2_2b_instruct,L14H6,attn_head,14,6,1.044810541782913,1.1980437230209207,-0.15323318123800767
gemma2_2b_instruct,L19H4,attn_head,19,4,1.044810541782913,0.8351242701335452,0.20968627164936782
gemma2_2b_instruct,L16H3,attn_head,16,3,1.044810541782913,1.0374159678755426,0.007394573907370416
gemma2_2b_instruct,L15H6,attn_head,15,6,1.044810541782913,1.0572232725212978,-0.01241273073838478
gemma2_2b_instruct,L20H3,attn_head,20,3,1.044810541782913,0.9399617845475094,0.10484875723540354
gemma2_2b_instruct,L18MLP,mlp,18,-1,1.044810541782913,1.0274271815316975,0.01738336025121545
gemma2_2b_instruct,L25H7,attn_head,25,7,1.044810541782913,1.2046378122282573,-0.15982727044534428
gemma2_2b_instruct,L20H6,attn_head,20,6,1.044810541782913,1.3908846013317144,-0.34607405954880144
gemma2_2b_instruct,L25H2,attn_head,25,2,1.044810541782913,0.9802587405343011,0.06455180124861193
gemma2_2b_instruct,L21MLP,mlp,21,-1,1.044810541782913,1.1034616991425354,-0.05865115735962245
gemma2_2b_instruct,L21H0,attn_head,21,0,1.044810541782913,1.011800371420584,0.033010170362328894
gemma2_2b_instruct,L23H3,attn_head,23,3,1.044810541782913,1.0637279587381285,-0.018917416955215538
gemma2_2b_instruct,L13H6,attn_head,13,6,1.044810541782913,0.925676891461555,0.11913365032135803
gemma2_2b_instruct,L14H5,attn_head,14,5,1.044810541782913,1.118233166376272,-0.07342262459335891
olmo_1b_base,L11H9,attn_head,11,9,1.0593011043678375,0.9600128757588707,0.0992882286089668
olmo_1b_base,L12H14,attn_head,12,14,1.0593011043678375,1.024161422893323,0.03513968147451463
olmo_1b_base,L15H10,attn_head,15,10,1.0593011043678375,0.9027216529572023,0.15657945141063523
olmo_1b_base,L13H4,attn_head,13,4,1.0593011043678375,1.075129105235751,-0.015828000867913472
olmo_1b_base,L15MLP,mlp,15,-1,1.0593011043678375,4.624452747231234,-3.5651516428633965
olmo_1b_base,L11MLP,mlp,11,-1,1.0593011043678375,1.1194698580691131,-0.06016875370127561
olmo_1b_base,L12H6,attn_head,12,6,1.0593011043678375,1.2201654318269586,-0.16086432745912105
olmo_1b_base,L14H14,attn_head,14,14,1.0593011043678375,0.9976325974376976,0.06166850693013992
olmo_1b_base,L15H12,attn_head,15,12,1.0593011043678375,0.8665428836028757,0.19275822076496185
olmo_1b_base,L9MLP,mlp,9,-1,1.0593011043678375,0.8716811535138648,0.18761995085397276
olmo_1b_base,L6MLP,mlp,6,-1,1.0593011043678375,0.8762370000398532,0.18306410432798437
olmo_1b_base,L15H6,attn_head,15,6,1.0593011043678375,1.0116559644463117,0.04764513992152586
olmo_1b_base,L15H5,attn_head,15,5,1.0593011043678375,1.0629374069849944,-0.0036363026171568613
olmo_1b_base,L14H3,attn_head,14,3,1.0593011043678375,0.9238490921284863,0.13545201223935122
olmo_1b_base,L3MLP,mlp,3,-1,1.0593011043678375,1.0587726187129198,0.0005284856549176986
olmo_1b_base,L9H1,attn_head,9,1,1.0593011043678375,0.9197409450763506,0.1395601592914869
olmo_1b_base,L14H12,attn_head,14,12,1.0593011043678375,0.9690216031368561,0.09027950123098138
olmo_1b_base,L8MLP,mlp,8,-1,1.0593011043678375,0.7840260728290647,0.27527503153877286
olmo_1b_base,L5MLP,mlp,5,-1,1.0593011043678375,1.042233553401033,0.017067550966804568
olmo_1b_base,L10H4,attn_head,10,4,1.0593011043678375,1.0052858820108463,0.05401522235699119
