model_key,model,item_id,word,target,distractor,neutral_word,hook_name,triplet_selected_layer,control_type,swap_i,donor_row_index,donor_item_id,donor_word,donor_target,m_clean,m_corrupt,m_matched,m_patched,target_logit_delta,distractor_logit_delta
qwen25_15b_base,qwen25_15b_base,0,small,big,tiny,marker,blocks.3.hook_resid_pre,3,definition_target_swap,0,29,32,narrow,wide,10.089876174926758,6.494362831115723,10.304045677185059,5.5288238525390625,-8.326689720153809,-7.361150741577148
qwen25_15b_base,qwen25_15b_base,1,large,small,big,unit,blocks.3.hook_resid_pre,3,definition_target_swap,0,25,27,confusing,clear,10.515905380249023,8.669569969177246,10.283549308776855,2.894961357116699,-8.760293006896973,-2.985684394836426
qwen25_15b_base,qwen25_15b_base,2,hot,cold,warm,slot,blocks.3.hook_resid_pre,3,definition_target_swap,0,26,28,empty,full,7.092912673950195,4.594486236572266,6.884215354919434,0.790949821472168,-12.259588241577148,-8.456052780151367
qwen25_15b_base,qwen25_15b_base,3,cold,hot,chilly,form,blocks.3.hook_resid_pre,3,definition_target_swap,0,9,10,hard,soft,12.19146728515625,9.978981018066406,11.812416076660156,2.378756284713745,-14.542596817016602,-6.9423723220825195
qwen25_15b_base,qwen25_15b_base,5,sad,happy,unhappy,shape,blocks.3.hook_resid_pre,3,definition_target_swap,0,12,13,weak,strong,8.76699161529541,7.745124816894531,8.745519638061523,4.764956474304199,-16.493467330932617,-13.513299942016602
qwen25_15b_base,qwen25_15b_base,6,fast,slow,quick,step,blocks.3.hook_resid_pre,3,definition_target_swap,0,30,35,shallow,deep,8.877756118774414,8.393024444580078,8.814040184020996,1.7198963165283203,-9.6583251953125,-2.985197067260742
qwen25_15b_base,qwen25_15b_base,7,slow,fast,sluggish,label,blocks.3.hook_resid_pre,3,definition_target_swap,0,15,16,clean,dirty,13.73853874206543,11.971363067626953,13.717226028442383,1.3235483169555664,-12.829151153564453,-2.1813368797302246
qwen25_15b_base,qwen25_15b_base,8,bright,dark,shiny,symbol,blocks.3.hook_resid_pre,3,definition_target_swap,0,18,19,poor,rich,11.335858345031738,10.95973014831543,11.183833122253418,-4.541103839874268,-15.671777725219727,-0.1709442138671875
qwen25_15b_base,qwen25_15b_base,9,dark,bright,dim,code,blocks.3.hook_resid_pre,3,definition_target_swap,0,22,24,loud,quiet,7.456315994262695,7.039393424987793,7.098257064819336,-2.1476569175720215,-14.667176246643066,-5.480125904083252
qwen25_15b_base,qwen25_15b_base,10,hard,soft,tough,field,blocks.3.hook_resid_pre,3,definition_target_swap,0,7,8,bright,dark,9.448055267333984,8.082523345947266,9.530928611755371,0.3987603187561035,-12.536975860595703,-4.853212356567383
qwen25_15b_base,qwen25_15b_base,11,soft,hard,gentle,signal,blocks.3.hook_resid_pre,3,definition_target_swap,0,5,6,fast,slow,11.345891952514648,10.582443237304688,11.453547477722168,-3.1635031700134277,-12.754890441894531,0.9910564422607422
qwen25_15b_base,qwen25_15b_base,12,strong,weak,powerful,letter,blocks.3.hook_resid_pre,3,definition_target_swap,0,4,5,sad,happy,9.656061172485352,8.856163024902344,9.76895809173584,-2.4880616664886475,-15.719895362854004,-4.375670909881592
qwen25_15b_base,qwen25_15b_base,13,weak,strong,frail,path,blocks.3.hook_resid_pre,3,definition_target_swap,0,10,11,soft,hard,14.195837020874023,12.489522933959961,14.129732131958008,6.491384506225586,-9.9670991897583,-3.9689602851867676
qwen25_15b_base,qwen25_15b_base,14,old,new,aged,page,blocks.3.hook_resid_pre,3,definition_target_swap,0,26,28,empty,full,14.574623107910156,9.29080581665039,14.12637710571289,4.703064441680908,-11.506587028503418,-6.9188456535339355
qwen25_15b_base,qwen25_15b_base,15,new,old,fresh,marker,blocks.3.hook_resid_pre,3,definition_target_swap,0,28,31,light,dark,10.033312797546387,8.323197364807129,10.257294654846191,2.2861063480377197,-14.247879028320312,-8.210787773132324
qwen25_15b_base,qwen25_15b_base,16,clean,dirty,neat,case,blocks.3.hook_resid_pre,3,definition_target_swap,0,26,28,empty,full,11.770861625671387,11.655635833740234,11.539112091064453,-1.8735380172729492,-16.224014282226562,-2.6948399543762207
qwen25_15b_base,qwen25_15b_base,17,dirty,clean,filthy,slot,blocks.3.hook_resid_pre,3,definition_target_swap,0,1,1,large,small,12.38015079498291,10.20120620727539,12.23560905456543,4.284896373748779,-15.488945007324219,-9.572635650634766
qwen25_15b_base,qwen25_15b_base,18,rich,poor,wealthy,key,blocks.3.hook_resid_pre,3,definition_target_swap,0,10,11,soft,hard,9.482012748718262,6.065448760986328,9.701824188232422,1.5175328254699707,-14.041915893554688,-9.493999481201172
