model_key,model,item_id,word,target,distractor,neutral_word,hook_name,triplet_selected_layer,control_type,perm,donor_perm_index,donor_item_id,donor_word,donor_target,m_clean,m_corrupt,m_matched,m_patched,target_logit_delta,distractor_logit_delta
qwen25_15b_base,qwen25_15b_base,0,small,big,tiny,marker,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,27,29,full,empty,10.089876174926758,6.494362831115723,10.30404567718506,0.0030031204223632,-13.555578231811523,-7.064218997955322
qwen25_15b_base,qwen25_15b_base,1,large,small,big,unit,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,4,5,sad,happy,10.515905380249023,8.669569969177246,10.283549308776855,-0.7806148529052734,-12.801924705505373,-3.351739883422852
qwen25_15b_base,qwen25_15b_base,2,hot,cold,warm,slot,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,17,18,rich,poor,7.092912673950195,4.594486236572266,6.884215354919434,3.1407999992370605,-11.72433376312256,-10.270647048950195
qwen25_15b_base,qwen25_15b_base,3,cold,hot,chilly,form,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,1,1,large,small,12.19146728515625,9.978981018066406,11.812416076660156,3.763497829437256,-16.149250030517578,-9.93376636505127
qwen25_15b_base,qwen25_15b_base,5,sad,happy,unhappy,shape,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,8,9,dark,bright,8.76699161529541,7.745124816894531,8.745519638061523,6.104989051818848,-14.12033462524414,-12.480198860168455
qwen25_15b_base,qwen25_15b_base,6,fast,slow,quick,step,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,28,31,light,dark,8.877756118774414,8.393024444580078,8.814040184020996,0.6721596717834473,-15.769747734069824,-8.048883438110352
qwen25_15b_base,qwen25_15b_base,7,slow,fast,sluggish,label,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,20,21,dangerous,safe,13.73853874206543,11.971363067626951,13.717226028442385,5.962893009185791,-11.947989463806152,-5.93951940536499
qwen25_15b_base,qwen25_15b_base,8,bright,dark,shiny,symbol,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,9,10,hard,soft,11.335858345031738,10.95973014831543,11.183833122253418,2.1044654846191406,-12.05706787109375,-3.201803207397461
qwen25_15b_base,qwen25_15b_base,9,dark,bright,dim,code,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,24,26,clear,confusing,7.456315994262695,7.039393424987793,7.098257064819336,-2.3119590282440186,-16.299732208251953,-6.948380470275879
qwen25_15b_base,qwen25_15b_base,10,hard,soft,tough,field,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,26,28,empty,full,9.448055267333984,8.082523345947266,9.530928611755373,-2.6533432006835938,-15.92670726776123,-5.190840721130371
qwen25_15b_base,qwen25_15b_base,11,soft,hard,gentle,signal,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,10,11,soft,hard,11.345891952514648,10.582443237304688,11.453547477722168,11.453547477722168,-1.0550994873046875,-1.926203727722168
qwen25_15b_base,qwen25_15b_base,12,strong,weak,powerful,letter,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,7,8,bright,dark,9.656061172485352,8.856163024902344,9.76895809173584,-0.1354360580444336,-12.758258819580078,-3.766659259796143
qwen25_15b_base,qwen25_15b_base,13,weak,strong,frail,path,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,23,25,quiet,loud,14.195837020874023,12.48952293395996,14.129732131958008,8.01969051361084,-9.31981086730957,-4.849977493286133
qwen25_15b_base,qwen25_15b_base,14,old,new,aged,page,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,21,22,easy,hard,14.574623107910156,9.29080581665039,14.12637710571289,4.21835994720459,-12.156896591186523,-7.084450721740723
qwen25_15b_base,qwen25_15b_base,15,new,old,fresh,marker,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,30,35,shallow,deep,10.033312797546388,8.323197364807129,10.257294654846191,-0.0118045806884765,-13.761737823486328,-5.4267354011535645
qwen25_15b_base,qwen25_15b_base,16,clean,dirty,neat,case,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,5,6,fast,slow,11.770861625671388,11.655635833740234,11.539112091064451,-0.7504677772521973,-16.55176544189453,-4.145660877227783
qwen25_15b_base,qwen25_15b_base,17,dirty,clean,filthy,slot,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,12,13,weak,strong,12.38015079498291,10.20120620727539,12.23560905456543,6.856947422027588,-11.493019104003906,-8.148759841918945
qwen25_15b_base,qwen25_15b_base,18,rich,poor,wealthy,key,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,3,3,cold,hot,9.482012748718262,6.065448760986328,9.701824188232422,2.6833300590515137,-14.160009384155272,-10.777891159057615
qwen25_15b_base,qwen25_15b_base,19,poor,rich,needy,word,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,22,24,loud,quiet,10.778328895568848,8.261961936950684,11.05996799468994,-0.7755088806152344,-14.961709976196287,-5.924238681793213
qwen25_15b_base,qwen25_15b_base,20,safe,dangerous,secure,group,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,29,32,narrow,wide,9.238420486450195,7.740632057189941,9.090423583984377,-1.1680879592895508,-13.405844688415527,-4.497124671936035
qwen25_15b_base,qwen25_15b_base,21,dangerous,safe,risky,column,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,31,37,far,near,10.432592391967772,7.039134979248047,10.789079666137695,2.5097875595092773,-13.764023780822754,-9.234676361083984
qwen25_15b_base,qwen25_15b_base,22,easy,hard,simple,image,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,16,17,dirty,clean,7.907116889953613,7.976080894470215,8.023662567138672,-3.413949012756348,-13.351165771484377,-1.9611358642578125
qwen25_15b_base,qwen25_15b_base,24,loud,quiet,noisy,slot,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,6,7,slow,fast,7.715483665466309,6.685754776000977,7.572153091430664,-0.8302502632141113,-17.188854217529297,-9.672847747802734
qwen25_15b_base,qwen25_15b_base,25,quiet,loud,silent,record,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,13,14,old,new,9.20207691192627,6.5422468185424805,9.311458587646484,-2.2526614665985107,-16.43647575378418,-7.641568183898926
qwen25_15b_base,qwen25_15b_base,26,clear,confusing,plain,piece,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,14,15,new,old,12.33932113647461,10.289478302001951,12.359646797180176,-2.1005640029907227,-14.12879753112793,-1.7387547492980957
qwen25_15b_base,qwen25_15b_base,27,confusing,clear,unclear,letter,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,25,27,confusing,clear,9.021692276000977,7.093455314636231,9.094441413879396,9.094441413879396,-1.6543006896972656,-3.6552867889404297
qwen25_15b_base,qwen25_15b_base,28,empty,full,vacant,map,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,19,20,safe,dangerous,9.040450096130373,5.542851448059082,8.755380630493164,1.929105758666992,-13.489794731140137,-9.876049041748049
qwen25_15b_base,qwen25_15b_base,29,full,empty,complete,view,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,15,16,clean,dirty,8.001910209655762,6.133519172668457,8.148582458496094,-0.4355573654174804,-13.517045974731444,-6.947969436645508
qwen25_15b_base,qwen25_15b_base,31,light,dark,bright,object,blocks.3.hook_resid_pre,3,item_mismatched_clean,0,2,2,hot,cold,10.503399848937988,10.281180381774902,10.339159965515137,4.259474277496338,-8.702801704406738,-2.681095600128174
